Date : 2017-08-07 18:24:45
   2017-08-07 18:24:29:739	Test Passed at : 2017-08-07 18:24:40:3360 ; 3MX2-4010(02_ProceedtoWrite01)  The test is PASSED	
      Test Started	3MX2-4010(02_ProceedtoWrite01)	2017-08-07 18:24:29:7390
      ICC Interface 	Log Passing Data property set to False	2017-08-07 18:24:29:9430
      SCRIPT_WRITER	5.63.00	2017-08-07 18:24:29:9810
      PROFILE	not applicable	2017-08-07 18:24:30:0080
      REFERENCE	3MX2-4010	2017-08-07 18:24:30:0350
      REVISION	1.13	2017-08-07 18:24:30:0580
      OBJECTIVE	To ensure the reader does not wait for DET after AFL reading completion when PTFWF is not present or different from '00'	2017-08-07 18:24:30:1430
      PASS CRITERIA	Case 1 * After issuance of the first ReadRecord command, the reader shall send a DEK signal including DataToSend template containing Application Capability Information, empty DSID. DataNeeded template shall be empty.* Upon Completion of all ReadRecord commands as per the AFL, the reader shall send a GenAC command asking for CDA and TC. The CDOL shall include the UnProtectedDataEnvelope1 Data field filled with '0000000000000000000000000000000000000000000000000000000000000000'.Case 2* Upon Completion of all ReadRecord commands as per the AFL, the reader shall send a GenAC command asking for CDA and TC. The CDOL shall include the UnProtectedDataEnvelope1 Data field filled with '0000000000000000000000000000000000000000000000000000000000000000'. Case 3* Upon Completion of all ReadRecord commands as per the AFL, the reader shall send a DEK signal including DataNeeded template containing UnProtectedDataEnvelope1. DataToSend template shall be empty.* Upon reception of a DET signal containing the UnProtectedDataEnvelope1 and PTFWF, the reader shall send a GenAC command asking for CDA and TC. The CDOL1 shall contain the UnProtectedDataEnvelope1 Data field filled with '000102030405060708090A0B0C0D0E0F000102030405060708090A0B0C0D0E0F'. For all Cases* Upon reception of the card response to GenAC, the reader shall send an OUT Signal to the Terminal. In OPS, Status shall indicate 'APPROVED' (i.e.: the transaction successfully completed).	2017-08-07 18:24:30:1680
      APPLICABILITY CONDITIONS	None	2017-08-07 18:24:30:1970
      TERMINAL CONFIGURATION	PPMC_DETTR27	2017-08-07 18:24:30:2220
      Command sent by Reader		2017-08-07 18:24:32:3090
      PURCH	COLD	2017-08-07 18:24:32:3450
      CARD ACTIVATED		2017-08-07 18:24:32:4120
      Command sent by Reader	00A404000E325041592E5359532E444446303100	2017-08-07 18:24:32:4680
      PURCH	WARM	2017-08-07 18:24:32:5080
      C-APDU	00 A4 04 00 0E 32 50 41 - 59 2E 53 59 53 2E 44 44	2017-08-07 18:24:32:5330
      C-APDU	46 30 31 00	2017-08-07 18:24:32:5331
      SELECT		2017-08-07 18:24:32:5340
         CLA	00	
         INS	A4	
         P1	04	
         P2	00	
         Lc	0E	
         Data		
            FID	325041592E5359532E4444463031	
         Le	00	
      PURCH	(PayPass_Select_PPSE_all)	2017-08-07 18:24:32:5540
      R-APDU	6F 3D 84 0E 32 50 41 59 - 2E 53 59 53 2E 44 44 46	2017-08-07 18:24:32:6320
      R-APDU	30 31 A5 2B BF 0C 28 61 - 0C 4F 07 A0 00 00 00 04	2017-08-07 18:24:32:6330
      R-APDU	10 10 87 01 01 61 0C 4F - 07 A0 00 00 00 04 30 60	2017-08-07 18:24:32:6340
      R-APDU	87 01 03 61 0A 4F 05 B0 - 12 34 56 78 87 01 09 90	2017-08-07 18:24:32:6341
      R-APDU	00	2017-08-07 18:24:32:6350
      SELECT Emulated Response		2017-08-07 18:24:32:6351
         BERTLVData	6F3D840E325041592E5359532E4444463031A52BBF0C28610C4F07A0000000041010870101610C4F07A0000000043060870103610A4F05B012345678870109	
            6F	840E325041592E5359532E4444463031A52BBF0C28610C4F07A0000000041010870101610C4F07A0000000043060870103610A4F05B012345678870109	
               84	325041592E5359532E4444463031	
               A5	BF0C28610C4F07A0000000041010870101610C4F07A0000000043060870103610A4F05B012345678870109	
                  BF0C	610C4F07A0000000041010870101610C4F07A0000000043060870103610A4F05B012345678870109	
                     61	4F07A0000000041010870101	
                        4F	A0000000041010	
                        87	01	
                     61	4F07A0000000043060870103	
                        4F	A0000000043060	
                        87	03	
                     61	4F05B012345678870109	
                        4F	B012345678	
                        87	09	
         CC	9000	
      Command sent by Reader	00A4040007A000000004101000	2017-08-07 18:24:32:7370
      C-APDU	00 A4 04 00 07 A0 00 00 - 00 04 10 10 00	2017-08-07 18:24:32:7830
      SELECT		2017-08-07 18:24:32:7840
         CLA	00	
         INS	A4	
         P1	04	
         P2	00	
         Lc	07	
         Data		
            FID	A0000000041010	
         Le	00	
      PURCH	(PayPass_Select_MCD_BFOC)	2017-08-07 18:24:32:7920
      R-APDU	6F 3B 84 07 A0 00 00 00 - 04 10 10 A5 30 87 01 01	2017-08-07 18:24:32:8710
      R-APDU	50 0A 4D 61 73 74 65 72 - 43 61 72 64 5F 2D 06 65	2017-08-07 18:24:32:8720
      R-APDU	6E 64 65 66 72 9F 11 01 - 01 9F 38 08 9F 02 06 9F	2017-08-07 18:24:32:8730
      R-APDU	33 03 9C 01 BF 0C 06 9F - 5D 03 01 01 00 90 00	2017-08-07 18:24:32:8740
      SELECT Emulated Response		2017-08-07 18:24:32:8741
         BERTLVData	6F3B8407A0000000041010A530870101500A4D6173746572436172645F2D06656E646566729F1101019F38089F02069F33039C01BF0C069F5D03010100	
            6F	8407A0000000041010A530870101500A4D6173746572436172645F2D06656E646566729F1101019F38089F02069F33039C01BF0C069F5D03010100	
               84	A0000000041010	
               A5	870101500A4D6173746572436172645F2D06656E646566729F1101019F38089F02069F33039C01BF0C069F5D03010100	
                  87	01	
                  50	MasterCard	
                  5F2D	endefr	
                  9F11	01	
                  9F38	9F02069F33039C01	
                  BF0C	9F5D03010100	
                     9F5D	#01#01#00	
         CC	9000	
      Command sent by Reader	80A800000C830A0000000015000000080000	2017-08-07 18:24:32:9710
      C-APDU	80 A8 00 00 0C 83 0A 00 - 00 00 00 15 00 00 00 08	2017-08-07 18:24:33:0210
      C-APDU	00 00	2017-08-07 18:24:33:0220
      GET_PROCESSING_OPTIONS		2017-08-07 18:24:33:0230
         CLA	80	
         INS	A8	
         P1	00	
         P2	00	
         Lc	0C	
         PDOL		
            Tag	83	
            Length	0A	
            Data	00000000150000000800	
         Le	00	
      PURCH	(PayPass_GPO_Mchip_PDOL_CDA)	2017-08-07 18:24:33:0300
      R-APDU	77 16 82 02 01 80 94 10 - 08 01 01 00 10 01 01 01	2017-08-07 18:24:33:1090
      R-APDU	18 01 01 00 20 01 02 00 - 90 00	2017-08-07 18:24:33:1091
      GET_PROCESSING_OPTIONS Emulated Response		2017-08-07 18:24:33:1100
         BERTLVData	w#16#82#02#01#80#94#10#08#01#01#00#10#01#01#01#18#01#01#00 #01#02#00	
            77	#82#02#01#80#94#10#08#01#01#00#10#01#01#01#18#01#01#00 #01#02#00	
               82	0000000110000000	
                  I	0	
                  OSDAIS	0	
                  ODDAIS	0	
                  CVIS	0	
                  TRMITBP	0	
                  IAIS	0	
                  RFU	0	
                  CDAIS	1	
                  RFU	10000000	
               94	#08#01#01#00#10#01#01#01#18#01#01#00 #01#02#00	
                  File	#08#01#01#00#10#01#01#01#18#01#01#00 #01#02#00	
                     File Identifier	00001000	
                        SFI	00001	
                        RFU	000	
                     First_record	01	
                     Last_record	01	
                     Number_record	00	
                  File	#10#01#01#01#18#01#01#00 #01#02#00	
                     File Identifier	00010000	
                        SFI	00010	
                        RFU	000	
                     First_record	01	
                     Last_record	01	
                     Number_record	01	
                  File	#18#01#01#00 #01#02#00	
                     File Identifier	00011000	
                        SFI	00011	
                        RFU	000	
                     First_record	01	
                     Last_record	01	
                     Number_record	00	
                  File	 #01#02#00	
                     File Identifier	00100000	
                        SFI	00100	
                        RFU	000	
                     First_record	01	
                     Last_record	02	
                     Number_record	00	
         CC	9000	
      Command sent by Reader	00B2011400	2017-08-07 18:24:33:2010
      C-APDU	00 B2 01 14 00	2017-08-07 18:24:33:2490
      READ_RECORD		2017-08-07 18:24:33:2500
         CLA	00	
         INS	B2	
         P1	01	
         P2		
            SFI	00010	
            P1_Definition	100	
         Le	00	
      PURCH	(PayPass_RR_MChip_21)	2017-08-07 18:24:33:2580
      R-APDU	70 4B 5F 24 03 49 12 31 - 5A 08 54 13 33 90 00 00	2017-08-07 18:24:33:3380
      R-APDU	15 13 8C 11 95 05 9F 02 - 06 9F 34 03 9F 33 03 9F	2017-08-07 18:24:33:3390
      R-APDU	37 04 9F 75 20 8E 0A 00 - 00 00 00 00 00 00 00 00	2017-08-07 18:24:33:3400
      R-APDU	00 9F 0D 05 00 00 00 00 - 00 9F 0E 05 00 00 00 00	2017-08-07 18:24:33:3410
      R-APDU	00 9F 0F 05 00 00 00 00 - 00 9F 4A 01 82 90 00	2017-08-07 18:24:33:3420
      READ_RECORD Emulated Response		2017-08-07 18:24:33:3421
         BERTLVData	704B5F24034912315A0854133390000015138C1195059F02069F34039F33039F37049F75208E0A000000000000000000009F0D0500000000009F0E0500000000009F0F0500000000009F4A0182	
            70	5F24034912315A0854133390000015138C1195059F02069F34039F33039F37049F75208E0A000000000000000000009F0D0500000000009F0E0500000000009F0F0500000000009F4A0182	
               5F24	491231	
               5A	5413339000001513	
               8C	95059F02069F34039F33039F37049F7520	
               8E	00000000000000000000	
                  Amount_X	00000000	
                  Amount_Y	00000000	
                  CVM	0000	
                     CVM_Method_Codes	00000000	
                        bit8	0	
                        bit7	0	
                        CVM_Method	Fail	
                     CVM_Conditions	Always	
               9F0D	0000000000	
                  Byte	00	
                  Byte	00	
                  Byte	00	
                  Byte	00	
                  Byte	00	
               9F0E	0000000000	
                  Byte	00	
                  Byte	00	
                  Byte	00	
                  Byte	00	
                  Byte	00	
               9F0F	0000000000	
                  Byte	00	
                  Byte	00	
                  Byte	00	
                  Byte	00	
                  Byte	00	
               9F4A	82	
         CC	9000	
      Command sent by Reader	00B2011C00	2017-08-07 18:24:33:4450
      C-APDU	00 B2 01 1C 00	2017-08-07 18:24:33:4990
      READ_RECORD		2017-08-07 18:24:33:4991
         CLA	00	
         INS	B2	
         P1	01	
         P2		
            SFI	00011	
            P1_Definition	100	
         Le	00	
      PURCH	(PayPass_RR_MChip_31)	2017-08-07 18:24:33:5060
      R-APDU	70 81 AE 9F 32 01 03 92 - 22 49 65 6A E4 3F 49 4B	2017-08-07 18:24:33:6290
      R-APDU	FA 14 3C 07 5B 1E 08 B7 - C3 49 F2 B5 90 32 4D 03	2017-08-07 18:24:33:6300
      R-APDU	08 8E 45 37 C6 D0 D9 A6 - 10 8B F7 90 81 80 04 A2	2017-08-07 18:24:33:6310
      R-APDU	5F C9 C6 9B 0F C0 69 A7 - 76 CE 3F 26 8F C5 BB 41	2017-08-07 18:24:33:6320
      R-APDU	E5 9E 41 92 3E D3 ED AE - 18 D2 3D 58 7C 0D 21 7D	2017-08-07 18:24:33:6330
      R-APDU	DD B1 51 17 A2 58 2A 32 - 1A AE A4 6C 8B A9 4D 65	2017-08-07 18:24:33:6340
      R-APDU	80 E6 BB 54 48 91 A5 9E - A2 E4 0F F5 A6 27 76 0B	2017-08-07 18:24:33:6350
      R-APDU	7F 2D 28 DF FC 0E 68 28 - DE 41 70 14 08 FA E0 21	2017-08-07 18:24:33:6360
      R-APDU	A5 C9 F9 C7 C0 DA C1 45 - D0 A4 40 EF A6 6D DF DA	2017-08-07 18:24:33:6361
      R-APDU	4E 38 D0 1F E8 12 29 4E - F2 BE 4E 05 73 79 7C AF	2017-08-07 18:24:33:6370
      R-APDU	48 3A 85 11 1A 37 EA 78 - 2F BA AF 3C CC 0D 8F 01	2017-08-07 18:24:33:6380
      R-APDU	F8 90 00	2017-08-07 18:24:33:6390
      READ_RECORD Emulated Response		2017-08-07 18:24:33:6391
