Date : 2017-08-07 18:30:34
   2017-07-28 13:18:14:292	Test Passed at : 2017-07-28 13:19:33:9420 ; 3MX2-4410(01_GetDataS4)  The test is PASSED	
      Test Started	3MX2-4410(01_GetDataS4)	2017-07-28 13:18:14:2920
      ICC Interface 	Log Passing Data property set to False	2017-07-28 13:18:14:3750
      SCRIPT_WRITER	5.63.00	2017-07-28 13:18:14:4310
      PROFILE	not applicable	2017-07-28 13:18:14:4480
      REFERENCE	3MX2-4410	2017-07-28 13:18:14:4700
      REVISION	1.30	2017-07-28 13:18:14:4880
      OBJECTIVE	To ensure the reader updates DataToSend with a tag with zero length if the response to GetData does not parse correctly.	2017-07-28 13:18:14:5190
      PASS CRITERIA	For case 1,* After issuance of the First ReadRecord command, the reader shall send a DEK signal including DataToSend template containing the DEK Signal Identifier, Application Capability Information and empty DSID. DataNeeded template shall be empty.* After reception of the first ReadRecord response, the reader shall send out two GetData commands with Tag '9F75' and '9F76'* After issuance of the second ReadRecord, the reader shall send a DEK signal including DataToSend template containing empty UnProtectedDataEnvelope1 and UnProtectedDataEnvelope2 filled with 32 bytes having value '01' to '20'.For case 2,* After reception of the response to GetPO, The reader shall send out one GetData Command (To read UnProtectedDataEnvelope1)* After Issuance of the GetData command, the reader shall send a DEK signal including DataToSend template containing DEK Signal Identifier and Application Capability Information. DataNeeded template shall be empty.* After Issuance of first ReadRecord command, the reader shall send a DEK signal including DataToSend template containing UnProtectedDataEnvelope1 filled with 32 bytes having value '01' to '20'.* After reception of the first ReadRecord response, the reader shall send out two GetData command with Tag '9F76' and '9F75' (UnProtectedDataEnvelope1 and 2)* After issuance of the second ReadRecord, the reader shall send a DEK signal including DataToSend template containing UnProtectedDataEnvelope2 filled with 32 bytes having value '01' to '20' and empty UnProtectedDataEnvelope1.For case 3,* After issuance of the second ReadRecord, the reader shall send a DEK signal including DataToSend template containing the DEK Signal Identifier, Application Capability Information, empty DSID and PAN. DataNeeded template shall be empty.* Upon completion of all ReadRecord commands as per the AFL, the reader shall send a DEK signal including empty DataToSend template and DataNeeded template containing PTFWF* Upon reception of a DET signal containing PTFWF and TagsToRead, the reader shall send out a GetData command with Tag '9F75' (UnProtectedDataEnvelope1)* Upon reception of the card response to GetData, the reader shall send a DEK signal including DataToSend template containing empty UnProtectedDataEnvelope1. DataNeeded Template shall not be present.For all cases* Upon reception of the card response to GenAC, the reader shall send an OUT Signal to the Terminal. In OPS, Status shall indicate 'APPROVED' (i.e.: the transaction successfully completed).	2017-07-28 13:18:14:5380
      APPLICABILITY CONDITIONS	None	2017-07-28 13:18:14:5640
      TERMINAL CONFIGURATION	PPMC_DETTR_referce	2017-07-28 13:18:14:5830
      ISSUER PROCESSING	Please use the following XML file reference: 3MX2-4410	2017-07-28 13:18:14:6150
      Command sent by Reader		2017-07-28 13:18:35:6960
